,product_id,product_lvl1_cat_desc,product_lvl2_cat_desc
443,129904,BabyAndChild,BabyFood
444,129906,BabyAndChild,BabyFood
445,129908,BabyAndChild,BabyFood
446,129909,BabyAndChild,BabyFood
447,131547,BabyAndChild,BabyFood
448,139728,BabyAndChild,BabyFood
449,139731,BabyAndChild,BabyFood
450,139732,BabyAndChild,BabyFood
451,139733,BabyAndChild,BabyFood
452,139735,BabyAndChild,BabyFood
453,139738,BabyAndChild,BabyFood
454,139739,BabyAndChild,BabyFood
455,139740,BabyAndChild,BabyFood
456,139744,BabyAndChild,BabyFood
457,139746,BabyAndChild,BabyFood
458,139748,BabyAndChild,BabyFood
459,139749,BabyAndChild,BabyFood
460,139750,BabyAndChild,BabyFood
461,139751,BabyAndChild,BabyFood
462,139753,BabyAndChild,BabyFood
463,139757,BabyAndChild,BabyFood
464,141974,BabyAndChild,BabyFood
465,176885,BabyAndChild,BabyFood
466,176887,BabyAndChild,BabyFood
467,176888,BabyAndChild,BabyFood
468,176893,BabyAndChild,BabyFood
469,176895,BabyAndChild,BabyFood
470,176897,BabyAndChild,BabyFood
471,176899,BabyAndChild,BabyFood
472,176901,BabyAndChild,BabyFood
473,176903,BabyAndChild,BabyFood
474,176907,BabyAndChild,BabyFood
475,176908,BabyAndChild,BabyFood
476,190737,BabyAndChild,BabyFood
477,190739,BabyAndChild,BabyFood
478,190895,BabyAndChild,BabyFood
479,194961,BabyAndChild,BabyFood
480,194981,BabyAndChild,BabyFood
481,194982,BabyAndChild,BabyFood
482,361,BabyAndChild,BabyFormula
483,1480,BabyAndChild,BabyFormula
484,2745,BabyAndChild,BabyFormula
485,4137,BabyAndChild,BabyFormula
486,6130,BabyAndChild,BabyFormula
487,6849,BabyAndChild,BabyFormula
488,16446,BabyAndChild,BabyFormula
489,20197,BabyAndChild,BabyFormula
490,20515,BabyAndChild,BabyFormula
491,21765,BabyAndChild,BabyFormula
492,24121,BabyAndChild,BabyFormula
493,25545,BabyAndChild,BabyFormula
494,25663,BabyAndChild,BabyFormula
495,27032,BabyAndChild,BabyFormula
496,31446,BabyAndChild,BabyFormula
497,32885,BabyAndChild,BabyFormula
498,33382,BabyAndChild,BabyFormula
499,34033,BabyAndChild,BabyFormula
500,34477,BabyAndChild,BabyFormula
501,36897,BabyAndChild,BabyFormula
502,41283,BabyAndChild,BabyFormula
503,48353,BabyAndChild,BabyFormula
504,51408,BabyAndChild,BabyFormula
505,56630,BabyAndChild,BabyFormula
506,62602,BabyAndChild,BabyFormula
507,80468,BabyAndChild,BabyFormula
508,81056,BabyAndChild,BabyFormula
509,89150,BabyAndChild,BabyFormula
510,92673,BabyAndChild,BabyFormula
511,96477,BabyAndChild,BabyFormula
512,105162,BabyAndChild,BabyFormula
513,203075,BabyAndChild,BabyFormula
514,203171,BabyAndChild,BabyFormula
515,222582,BabyAndChild,BabyFormula
516,832,BabyAndChild,BabyHome
517,3653,BabyAndChild,BabyHome
518,4307,BabyAndChild,BabyHome
519,7905,BabyAndChild,BabyHome
520,8717,BabyAndChild,BabyHome
521,11544,BabyAndChild,BabyHome
522,15520,BabyAndChild,BabyHome
523,16207,BabyAndChild,BabyHome
524,17312,BabyAndChild,BabyHome
525,19926,BabyAndChild,BabyHome
526,20052,BabyAndChild,BabyHome
527,23388,BabyAndChild,BabyHome
528,28442,BabyAndChild,BabyHome
529,31470,BabyAndChild,BabyHome
530,35683,BabyAndChild,BabyHome
531,38450,BabyAndChild,BabyHome
532,46062,BabyAndChild,BabyHome
533,46063,BabyAndChild,BabyHome
534,47617,BabyAndChild,BabyHome
535,51331,BabyAndChild,BabyHome
536,56912,BabyAndChild,BabyHome
537,58007,BabyAndChild,BabyHome
538,61956,BabyAndChild,BabyHome
539,68024,BabyAndChild,BabyHome
540,68166,BabyAndChild,BabyHome
541,68256,BabyAndChild,BabyHome
542,68936,BabyAndChild,BabyHome
